pkSeqID,proto,saddr,sport,daddr,dport,seq,stddev,N_IN_Conn_P_SrcIP,min,state_number,mean,N_IN_Conn_P_DstIP,drate,srate,max,attack,category,subcategory
3577021,udp,192.168.100.150,45932,27.124.125.250,123,4286,0.0,14,0.048539,2,0.048539,4,0.0,0.0,0.048539,0,Normal,Normal
3577181,udp,192.168.100.149,50319,224.0.0.251,5353,4210,0.0,14,0.0,4,0.0,21,0.0,0.0,0.0,0,Normal,Normal
3577024,arp,192.168.100.150,-1,192.168.100.1,-1,4304,0.0,14,0.00015,2,0.00015,12,0.0,0.0,0.00015,0,Normal,Normal
3577290,udp,192.168.100.3,47696,205.251.199.148,53,3682,0.0,29,0.350171,2,0.350171,2,0.0,0.0,0.350171,0,Normal,Normal
2759280,udp,192.168.100.148,43165,192.168.100.3,80,130663,0.8311850000000001,100,2.757068,4,3.881228,100,0.0,0.624945,4.740794999999999,1,DDoS,UDP
3576924,tcp,192.168.100.3,59552,13.55.154.73,8883,8,1.272364,20,1.51683,2,3.947982,2,0.8978389999999999,0.8978389999999999,4.999982,0,Normal,Normal
3577218,udp,192.168.100.4,5353,224.0.0.251,5353,9749,0.0,3,0.0,4,0.0,8,0.0,0.0,0.0,0,Normal,Normal
849917,udp,192.168.100.149,49081,192.168.100.5,80,232640,2.113401,100,0.0,4,2.112651,100,0.0,0.224262,4.304935,1,DoS,UDP
2003484,tcp,192.168.100.150,34951,192.168.100.3,80,90090,0.093142,100,4.055015,3,4.148157,100,0.0,0.205814,4.2412980000000005,1,DDoS,TCP
3576971,udp,192.168.100.150,40086,224.0.0.251,5353,14571,0.0,14,0.0,4,0.0,24,0.0,0.0,0.0,0,Normal,Normal
3577199,udp,192.168.100.150,41879,224.0.0.251,5353,4274,0.0,18,0.0,4,0.0,21,0.0,0.0,0.0,0,Normal,Normal
3577098,udp,192.168.100.147,45699,8.8.8.8,53,12718,0.0,6,0.0074319999999999,2,0.0074319999999999,14,0.0,0.0,0.0074319999999999,0,Normal,Normal
3577145,udp,192.168.100.150,57850,8.8.8.8,53,27541,0.0,18,0.007326,2,0.007326,19,0.0,0.0,0.007326,0,Normal,Normal
3576955,arp,192.168.100.4,-1,192.168.100.1,-1,13109,0.0,3,0.000251,2,0.000251,7,0.0,0.0,0.000251,0,Normal,Normal
3577050,udp,192.168.100.3,42911,192.36.148.17,53,4032,0.0,23,0.057797,2,0.057797,2,0.0,0.0,0.057797,0,Normal,Normal
3577184,udp,192.168.100.148,46101,224.0.0.251,5353,4234,0.0,14,0.0,4,0.0,21,0.0,0.0,0.0,0,Normal,Normal
3576981,udp,192.168.100.147,40542,192.168.217.2,53,15663,0.0,12,0.0,4,0.0,8,0.0,0.399999,0.0,0,Normal,Normal
3577216,udp,192.168.100.149,38685,27.124.125.250,123,8557,0.0,9,0.048481,2,0.048481,3,0.0,0.0,0.048481,0,Normal,Normal
2901816,udp,192.168.100.149,8851,192.168.100.3,80,11038,0.949803,100,2.039891,4,3.383116,100,0.0,0.493038,4.055084,1,DDoS,UDP
2757640,udp,192.168.100.148,42677,192.168.100.3,80,129023,0.831733,95,2.761691,4,3.885273,100,0.0,0.624418,4.748467,1,DDoS,UDP
2234444,tcp,192.168.100.150,21525,192.168.100.3,80,58903,0.082467,100,3.568914,3,3.651375,100,0.0,0.270974,3.733837,1,DDoS,TCP
2085488,tcp,192.168.100.150,52274,192.168.100.3,80,172094,2.008624,100,0.0,3,2.008624,100,0.0,0.138802,4.017247,1,DDoS,TCP
3577262,udp,192.168.100.148,55376,192.168.217.2,53,1835,0.0,20,0.0,4,0.0,20,0.0,0.399831,0.0,0,Normal,Normal
738381,udp,192.168.100.150,30379,192.168.100.3,80,121104,0.1202,50,4.454433,4,4.618334,50,0.0,0.390578,4.741431,1,DoS,UDP
3577150,udp,192.168.100.149,41747,192.168.217.2,53,31701,0.0,14,0.0,4,0.0,18,0.0,0.3998469999999999,0.0,0,Normal,Normal
3577201,udp,192.168.100.148,37122,224.0.0.251,5353,4278,0.0,20,0.0,4,0.0,8,0.0,0.0,0.0,0,Normal,Normal
3577160,udp,fe80::2c6a:ff9b:7e14:166a,5353,ff02::fb,5353,32820,0.0,1,0.0,4,0.0,3,0.0,0.0,0.0,0,Normal,Normal
3014452,udp,192.168.100.147,13646,192.168.100.3,80,123674,1.366408,97,1.979486,4,3.911857,100,0.0,1.024752,4.886094,1,DDoS,UDP
3577227,arp,192.168.100.27,-1,192.168.100.1,-1,17119,0.0,4,9.7e-05,2,9.7e-05,10,0.0,0.0,9.7e-05,0,Normal,Normal
3577083,udp,192.168.100.3,5353,224.0.0.251,5353,9552,0.0,23,0.0,4,0.0,2,0.0,0.0,0.0,0,Normal,Normal
3576948,udp,fe80::c0c0:aa20:45b9:bdd9,5353,ff02::fb,5353,11520,0.0,1,0.0,4,0.0,4,0.0,0.0,0.0,0,Normal,Normal
1401189,udp,192.168.100.149,48364,192.168.100.5,80,259601,1.454797,100,0.0,4,2.513588,100,0.0,0.260659,3.5178910000000005,1,DoS,UDP
2241485,tcp,192.168.100.150,23948,192.168.100.3,80,65944,0.038098,72,3.613576,3,3.651663,100,0.0,0.271092,3.68975,1,DDoS,TCP
2640036,udp,192.168.100.147,13359,192.168.100.3,80,11419,0.462339,100,3.993382,4,4.339574,100,0.0,0.838377,4.993032,1,DDoS,UDP
3577197,udp,192.168.100.148,35600,224.0.0.251,5353,4266,0.0,14,0.0,4,0.0,21,0.0,0.0,0.0,0,Normal,Normal
1695303,tcp,192.168.100.148,16174,192.168.100.3,80,44062,0.0,55,0.0,3,0.0,100,0.0,0.0999039999999999,0.0,1,DDoS,TCP
3577309,udp,192.168.100.3,43980,205.251.194.86,53,3715,0.0,74,0.294063,2,0.294063,2,0.0,0.0,0.294063,0,Normal,Normal
3576973,udp,192.168.100.147,35790,224.0.0.251,5353,14579,0.0,12,0.0,4,0.0,24,0.0,0.0,0.0,0,Normal,Normal
3577231,udp,192.168.100.148,60446,192.168.217.2,53,17464,0.0,20,0.0,4,0.0,20,0.0,0.0,0.0,0,Normal,Normal
708548,udp,192.168.100.149,15580,192.168.100.5,80,91271,1.957139,56,0.0,4,2.767693,56,0.0,0.159381,4.173833,1,DoS,UDP
676637,udp,192.168.100.150,9663,192.168.100.3,80,59360,1.782312,100,0.0,4,3.309075,100,0.0,0.385027,4.705743,1,DoS,UDP
3132337,udp,192.168.100.149,63484,192.168.100.3,80,241559,1.913009,92,0.0,4,2.705403,100,0.0,0.493125,4.058141,1,DDoS,UDP
3399767,udp,192.168.100.149,23321,192.168.100.3,80,246839,1.937003,72,0.0,4,2.738751,100,0.0,0.484584,4.157129,1,DDoS,UDP
2650938,udp,192.168.100.147,21633,192.168.100.3,80,22321,0.454533,73,3.988642,4,4.339461,100,0.0,0.839047,4.981343,1,DDoS,UDP
3040488,udp,192.168.100.147,26023,192.168.100.3,80,149710,1.368235,100,1.97534,4,3.910307,100,0.0,1.024872,4.883222,1,DDoS,UDP
400921,tcp,192.168.100.148,19596,192.168.100.6,80,137292,0.129923,100,0.0,1,0.106082,100,0.054848,0.140232,0.26559,1,DoS,TCP
729156,udp,192.168.100.149,20285,192.168.100.5,80,111879,2.1096790000000003,100,0.0,4,2.107939,100,0.0,0.201233,4.337016,1,DoS,UDP
774481,udp,192.168.100.147,54669,192.168.100.7,80,157204,1.540887,100,0.0,4,2.5257650000000003,100,0.0,0.315754,4.866588,1,DoS,UDP
2603105,tcp,192.168.100.149,49797,192.168.100.3,80,165418,0.0,8,0.0,3,0.0,100,0.0,0.0716649999999999,0.0,1,DDoS,TCP
2429528,tcp,192.168.100.150,3031,192.168.100.3,80,253988,0.096889,77,3.816039,3,3.912928,100,0.0,0.256443,4.009817,1,DDoS,TCP
3577120,tcp,192.168.100.4,37644,91.189.92.40,443,16915,0.947639,7,0.280803,1,0.952354,2,3.672419,1.134412,2.292517,0,Normal,Normal
3019440,udp,192.168.100.147,16194,192.168.100.3,80,128662,1.366163,100,1.979842,4,3.911865,100,0.0,1.02471,4.886213,1,DDoS,UDP
2349324,tcp,192.168.100.149,42671,192.168.100.3,80,173784,0.132984,90,3.418342,3,3.5513220000000003,100,0.0,0.282043,3.684303,1,DDoS,TCP
3577053,tcp,192.168.100.7,139,192.168.100.4,36390,4076,3.5e-05,5,1.6e-05,2,4.6e-05,3,0.002751,0.002751,0.00011,0,Normal,Normal
2572932,tcp,192.168.100.147,33003,192.168.100.3,80,135245,0.120746,38,0.0,3,0.069713,100,0.0,0.094612,0.278851,1,DDoS,TCP
2591295,tcp,192.168.100.147,40368,192.168.100.3,80,153608,0.1297839999999999,98,0.0,1,0.074931,100,0.0,0.090652,0.299724,1,DDoS,TCP
3577171,tcp,192.168.100.6,80,192.168.100.3,80,7,0.034867,2,4.851122,2,4.88162,7,0.0,6.976675,4.999943,0,Normal,Normal
810033,udp,192.168.100.148,47842,192.168.100.6,80,192756,1.584527,100,0.0,4,2.740679,100,0.0,0.2509429999999999,3.790102,1,DoS,UDP
3080448,udp,192.168.100.150,47330,192.168.100.3,80,189670,1.900849,67,0.0,4,2.688206,100,0.0,0.494513,4.033262000000001,1,DDoS,UDP
3577217,udp,fe80::c0c0:aa20:45b9:bdd9,5353,ff02::fb,5353,9748,0.0,1,0.0,4,0.0,1,0.0,0.0,0.0,0,Normal,Normal
2644975,udp,192.168.100.147,18275,192.168.100.3,80,16358,0.455462,88,3.992747,4,4.338844,100,0.0,0.8386170000000001,4.982346,1,DDoS,UDP
3576957,udp,192.168.100.149,40285,224.0.0.251,5353,14527,0.0,9,0.0,4,0.0,24,0.0,0.0,0.0,0,Normal,Normal
1402905,udp,192.168.100.149,50080,192.168.100.5,80,261317,1.454231,100,0.0,4,2.512652,100,0.0,0.263966,3.5159260000000003,1,DoS,UDP
3576929,udp,192.168.100.3,52067,192.5.5.241,53,6748,0.0,20,0.031651,2,0.031651,2,0.0,0.0,0.031651,0,Normal,Normal
326612,tcp,192.168.100.149,12675,192.168.100.5,80,62982,0.0,18,0.0,3,0.0,18,0.0,0.127431,0.0,1,DoS,TCP
3070464,udp,192.168.100.148,27928,192.168.100.3,80,179686,0.640159,100,2.7490080000000003,4,3.654322,100,0.0,0.7296520000000001,4.110075,1,DDoS,UDP
2986948,udp,192.168.100.150,35971,192.168.100.3,80,96170,1.900237,98,0.0,4,2.687341,100,0.0,0.4944699999999999,4.0322510000000005,1,DDoS,UDP
1144759,udp,192.168.100.148,17859,192.168.100.6,80,3170,2.052132,100,0.0,4,1.6744169999999998,100,0.0,0.191073,4.305801,1,DoS,UDP
3577132,ipv6-icmp,fe80::250:56ff:febe:89ee,133,ff02::2,0,23484,0.0,1,0.0,8,0.0,1,0.0,0.0,0.0,0,Normal,Normal
3577151,udp,192.168.100.148,55337,192.168.217.2,53,31703,0.0,14,0.0,4,0.0,18,0.0,0.399992,0.0,0,Normal,Normal
3095809,udp,192.168.100.149,48983,192.168.100.3,80,205031,1.909337,100,0.0,4,2.700205,100,0.0,0.493434,4.055275,1,DDoS,UDP
376847,tcp,192.168.100.149,28238,192.168.100.5,80,113217,2.07505,80,0.0,3,1.19803,80,0.0,0.118074,4.792122,1,DoS,TCP
3577183,udp,192.168.100.149,41857,224.0.0.251,5353,4230,0.0,14,0.0,4,0.0,21,0.0,0.0,0.0,0,Normal,Normal
3577135,udp,192.168.100.147,38275,192.168.217.2,53,23527,0.0,18,0.0,4,0.0,18,0.0,0.399866,0.0,0,Normal,Normal
3577203,udp,192.168.100.147,58949,224.0.0.251,5353,4287,0.0,11,0.0,4,0.0,8,0.0,0.0,0.0,0,Normal,Normal
3577187,udp,192.168.100.150,53016,224.0.0.251,5353,4241,0.0,18,0.0,4,0.0,21,0.0,0.0,0.0,0,Normal,Normal
1324236,udp,192.168.100.150,6948,192.168.100.3,80,182647,1.7540349999999998,100,0.0,4,3.06168,100,0.0,0.469329,4.921828,1,DoS,UDP
3577005,ipv6-icmp,fe80::250:56ff:febe:254,133,ff02::2,0,1294,0.0,1,0.0,8,0.0,3,0.0,0.0,0.0,0,Normal,Normal
1849566,tcp,192.168.100.147,57927,192.168.100.3,80,198325,0.0,100,0.323007,1,0.323007,100,0.0,3.095908,0.323007,1,DDoS,TCP
3577255,udp,192.168.100.147,41246,192.168.217.2,53,26992,0.0,11,0.0,4,0.0,20,0.0,0.399844,0.0,0,Normal,Normal
2986219,udp,192.168.100.150,35818,192.168.100.3,80,95441,1.900417,30,0.0,4,2.687595,100,0.0,0.494451,4.032556,1,DDoS,UDP
2446225,tcp,192.168.100.148,45972,192.168.100.3,80,8536,1.1894049999999998,100,0.0,3,1.1894049999999998,100,0.0,0.140509,2.37881,1,DDoS,TCP
3334957,udp,192.168.100.148,21552,192.168.100.3,80,182029,1.313112,100,1.351497,4,3.208091,100,0.0,0.653137,4.17088,1,DDoS,UDP
3577196,udp,192.168.100.149,60248,224.0.0.251,5353,4262,0.0,14,0.0,4,0.0,21,0.0,0.0,0.0,0,Normal,Normal
1771708,tcp,192.168.100.148,34785,192.168.100.3,80,120467,0.0,100,0.0,3,0.0,100,0.0,0.100668,0.0,1,DDoS,TCP
3576945,udp,fe80::250:56ff:febe:e9d9,5353,ff02::fb,5353,9639,0.0,1,0.0,4,0.0,4,0.0,0.0,0.0,0,Normal,Normal
2870781,udp,192.168.100.150,58719,192.168.100.3,80,242164,0.230977,81,4.029039,4,4.260016,100,0.0,0.379535,4.4909930000000005,1,DDoS,UDP
1778154,tcp,192.168.100.147,40784,192.168.100.3,80,126913,2.287142,73,0.1814849999999999,1,2.468627,100,0.106121,0.282109,4.755769,1,DDoS,TCP
3384665,udp,192.168.100.150,21590,192.168.100.3,80,231737,1.921203,100,0.0,4,2.716965,100,0.0,0.490799,4.085844,1,DDoS,UDP
873836,udp,192.168.100.149,62505,192.168.100.5,80,256561,0.135246,100,4.089948000000001,4,4.230462,100,0.0,0.236623,4.413107,1,DoS,UDP
1970816,tcp,192.168.100.148,57611,192.168.100.3,80,57422,1.663152,88,0.0,3,1.176026,100,0.0,0.204238,3.528079,1,DDoS,TCP
3577283,udp,192.168.100.3,40018,192.58.128.30,53,3672,0.0,29,0.015716,2,0.015716,3,0.0,0.0,0.015716,0,Normal,Normal
3576951,ipv6-icmp,fe80::250:56ff:febe:89ee,133,ff02::2,0,12539,0.0,1,0.0,8,0.0,1,0.0,0.0,0.0,0,Normal,Normal
3577246,udp,192.168.100.148,41735,8.8.8.8,53,23414,0.0,20,0.007598,2,0.007598,15,0.0,0.0,0.007598,0,Normal,Normal
3485250,udp,192.168.100.147,10586,192.168.100.3,80,70169,1.273992,100,2.26352,4,4.064986,100,0.0,0.985492,4.990726,1,DDoS,UDP
2112858,tcp,192.168.100.149,9401,192.168.100.3,80,199464,1.905086,100,0.0,1,2.693907,100,0.123613,0.41335,4.075193,1,DDoS,TCP
323261,tcp,192.168.100.149,11137,192.168.100.5,80,59631,2.160308,68,0.0,3,1.247254,68,0.0,0.128484,4.989017,1,DoS,TCP
217466,tcp,192.168.100.148,65498,192.168.100.6,80,215989,0.009549,100,0.0,1,0.005513,100,0.0,0.139995,0.022052,1,DoS,TCP
3577175,udp,192.168.100.6,138,192.168.100.255,138,2624,0.0,2,0.0,4,0.0,4,0.0,0.001111,0.0,0,Normal,Normal
3576995,tcp,192.168.100.6,80,192.168.100.3,80,7,0.009396,3,4.839091000000001,2,4.855529,7,0.0,5.980901,4.932051,0,Normal,Normal
3572694,udp,192.168.100.148,62128,192.168.100.3,80,157613,0.744881,62,2.539821,4,3.593043,100,0.0,0.7412380000000001,4.13725,1,DDoS,UDP
3577321,udp,192.168.100.3,26536,205.251.198.239,53,3729,0.0,74,0.344549,2,0.344549,2,0.0,0.0,0.344549,0,Normal,Normal
2702358,udp,192.168.100.147,45764,192.168.100.3,80,73741,0.0265769999999999,100,3.992262,4,4.014979,100,0.0,0.837305,4.0523430000000005,1,DDoS,UDP
3577349,udp,192.168.100.3,37002,205.251.198.91,53,3786,0.0,74,0.347323,2,0.347323,4,0.0,0.0,0.347323,0,Normal,Normal
3577094,udp,192.168.100.148,58134,8.8.8.8,53,11631,0.0,10,0.007183,2,0.007183,14,0.0,0.0,0.007183,0,Normal,Normal
63162,tcp,192.168.100.149,8807,192.168.100.5,80,61685,0.0,58,0.0,3,0.0,58,0.0,0.104266,0.0,1,DoS,TCP
3577248,udp,192.168.100.147,44858,8.8.8.8,53,23905,0.0,11,0.007894,2,0.007894,15,0.0,0.0,0.007894,0,Normal,Normal
3577265,udp,192.168.100.27,58999,192.168.100.1,53,3027,1.401733,4,0.011294,2,1.413027,10,0.00283,0.002853,2.81476,0,Normal,Normal
1811074,tcp,192.168.100.147,48410,192.168.100.3,80,159833,2.253083,100,0.0,3,2.253083,100,0.0,0.151031,4.506167,1,DDoS,TCP
1109729,udp,192.168.100.149,45316,192.168.100.5,80,230295,1.777815,100,0.0,4,3.078933,100,0.0,0.230894,4.141346,1,DoS,UDP
1939979,tcp,192.168.100.150,32246,192.168.100.3,80,26582,1.956004,90,0.0,1,2.76262,100,0.0,0.273882,4.265876,1,DDoS,TCP
3577022,arp,192.168.100.1,-1,192.168.100.150,-1,4287,0.0,6,6.500000000000001e-05,2,6.500000000000001e-05,1,0.0,0.0,6.500000000000001e-05,0,Normal,Normal
2934923,udp,192.168.100.149,18807,192.168.100.3,80,44145,0.950604,81,2.03875,4,3.3831050000000005,100,0.0,0.493039,4.057002,1,DDoS,UDP
3577212,arp,192.168.100.147,-1,192.168.100.1,-1,7405,1.1e-05,11,9.3e-05,2,0.000111,10,0.003116,0.003116,0.000127,0,Normal,Normal
1957675,tcp,192.168.100.149,37701,192.168.100.3,80,44280,1.959077,49,0.0,1,2.767148,100,0.0,0.3123849999999999,4.269639,1,DDoS,TCP
3208389,udp,192.168.100.147,61792,192.168.100.3,80,55461,0.82484,100,2.976119,4,3.982982,100,0.0,1.002991,4.996521,1,DDoS,UDP
3577077,udp,192.168.100.3,22832,192.112.36.4,53,5440,0.0,23,0.138338,2,0.138338,2,0.0,0.0,0.138338,0,Normal,Normal
2013646,tcp,192.168.100.148,3720,192.168.100.3,80,100252,1.904529,100,0.0,3,2.645911,100,0.0,0.271453,4.404999,1,DDoS,TCP
3577043,udp,192.168.100.3,44627,96.7.49.66,53,4020,0.0,23,0.30755,2,0.30755,1,0.0,0.0,0.30755,0,Normal,Normal
393913,tcp,192.168.100.148,16546,192.168.100.6,80,130284,0.0,100,0.0,3,0.0,100,0.0,0.142906,0.0,1,DoS,TCP
3628577,tcp,192.168.100.150,59768,192.168.100.5,2105,4840,0.0,100,0.000815,1,0.000815,100,0.0,0.0,0.000815,1,Reconnaissance,Service_Scan
2593800,tcp,192.168.100.148,31385,192.168.100.3,80,156113,0.0967529999999999,100,0.0,3,0.055861,100,0.0,0.120202,0.223442,1,DDoS,TCP
3576963,udp,192.168.100.149,50421,224.0.0.251,5353,14550,0.0,9,0.0,4,0.0,24,0.0,0.0,0.0,0,Normal,Normal
1354896,udp,192.168.100.149,14838,192.168.100.5,80,213307,1.76255,100,0.0,4,2.134036,100,0.0,0.234611,4.041508,1,DoS,UDP
3577139,udp,192.168.100.148,56727,8.8.8.8,53,25534,0.0,14,0.00733,2,0.00733,19,0.0,0.0,0.00733,0,Normal,Normal
3577100,udp,192.168.100.148,33232,192.168.217.2,53,13769,0.0,10,0.0,4,0.0,9,0.0,0.399974,0.0,0,Normal,Normal
3577103,udp,192.168.100.147,49347,192.168.217.2,53,13849,0.0,18,0.0,4,0.0,18,0.0,0.3998239999999999,0.0,0,Normal,Normal
2248188,tcp,192.168.100.147,51563,192.168.100.3,80,72647,1.4512459999999998,48,0.0,1,2.050056,100,0.0,0.414451,3.159491,1,DDoS,TCP
3165687,udp,192.168.100.149,33250,192.168.100.3,80,12759,0.99681,100,2.021949,4,3.43115,100,0.0,0.485712,4.168329,1,DDoS,UDP
3577296,udp,192.168.100.3,24953,205.251.195.97,53,3695,0.0,29,0.279079,2,0.279079,1,0.0,0.0,0.279079,0,Normal,Normal
3576950,udp,192.168.100.150,37024,27.124.125.250,123,12162,0.0,14,0.048645,2,0.048645,2,0.0,0.0,0.048645,0,Normal,Normal
3577026,udp,192.168.100.147,58264,129.250.35.250,123,4520,0.0,6,0.007474,2,0.007474,1,0.0,0.0,0.007474,0,Normal,Normal
598053,tcp,192.168.100.148,896,192.168.100.6,80,72272,0.015165,94,0.0,1,0.0087549999999999,94,0.0,0.053059,0.035021,1,DoS,TCP
3577244,udp,192.168.100.150,50302,8.8.8.8,53,22265,0.0,11,0.007445,2,0.007445,15,0.0,0.0,0.007445,0,Normal,Normal
3577191,udp,192.168.100.147,33469,224.0.0.251,5353,4251,0.0,18,0.0,4,0.0,21,0.0,0.0,0.0,0,Normal,Normal
2739816,udp,192.168.100.147,54925,192.168.100.3,80,111199,0.045571,100,3.907229,4,3.971678,100,0.0,0.851986,4.0047120000000005,1,DDoS,UDP
239654,tcp,192.168.100.150,49722,192.168.100.3,80,238177,0.0,100,0.145679,1,0.145679,100,0.0,6.864408,0.145679,1,DoS,TCP
3577242,udp,192.168.100.148,47494,192.168.217.2,53,22258,0.0,20,0.0,4,0.0,20,0.0,0.399963,0.0,0,Normal,Normal
3577267,tcp,192.168.100.55,8080,192.168.100.3,80,2,0.231829,1,1.546869,2,4.948982,4,20.161673,20.161673,4.998516,0,Normal,Normal
3577293,udp,192.168.100.3,56185,192.52.178.30,53,3685,0.0,29,0.16695,2,0.16695,1,0.0,0.0,0.16695,0,Normal,Normal
2113155,tcp,192.168.100.148,40068,192.168.100.3,80,199761,0.4414109999999999,100,3.267552,1,3.692497,100,0.143808,0.4131579999999999,4.300991000000001,1,DDoS,TCP
3576934,udp,192.168.100.3,34560,199.7.91.13,53,6761,0.0,20,0.016084,2,0.016084,1,0.0,0.0,0.016084,0,Normal,Normal
625987,udp,192.168.100.147,11574,192.168.100.7,80,8710,1.24444,100,0.0,4,1.758562,100,0.0,0.306503,2.717422,1,DoS,UDP
2133882,tcp,192.168.100.150,62373,192.168.100.3,80,220489,1.998157,64,0.0,3,1.998157,100,0.0,0.139469,3.996313,1,DDoS,TCP
3577116,arp,192.168.100.1,-1,192.168.100.4,-1,16858,0.0,3,2.2e-05,2,2.2e-05,2,0.0,0.0,2.2e-05,0,Normal,Normal
